,p_in,t_in,p_out,m_dot,V1,Nstg,PR_stg,RPM,H_ad,g,Ns,Ds,D,eff,type,r1,r2,U2,psi,I,mu
31,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,11526.3157895,122463.985131,9.81,0.752287452392,3.76112449712,0.46352091762,0.85,Mixed,0.115880229405,0.23176045881,279.742514209,0.352658961186,1.56491747482,1.3301798536
32,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,12221.0526316,122463.985131,9.81,0.797630805687,3.65486460904,0.45042545086,0.85,Mixed,0.112606362715,0.22521272543,288.224011699,0.362473340654,1.47417170249,1.25304594712
33,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,12915.7894737,122463.985131,9.81,0.842974158982,3.54860472095,0.4373299841,0.85,Mixed,0.109332496025,0.21866499205,295.752778992,0.37471815078,1.40007312631,1.19006215737
34,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,13610.5263158,122463.985131,9.81,0.888317512277,3.44234483286,0.42423451734,0.85,Mixed,0.106058629335,0.21211725867,302.328816087,0.38954759428,1.339828776,1.1388544596
35,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,14305.2631579,122463.985131,9.81,0.933660865572,3.33608494477,0.411139050579,0.85,Mixed,0.102784762645,0.20556952529,307.952122984,0.407184664612,1.29134410106,1.09764248591
36,1.01325,20.0,31.1,13.82,16.6472290221,4.0,2.35375331214,15000.0,122463.985131,9.81,0.979004218867,3.22982505668,0.398043583819,0.85,Mixed,0.0995108959548,0.19902179191,312.622699684,0.427927610036,1.25304702433,1.06508997068
37,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,2494.73684211,97971.1881046,9.81,0.192486623654,14.5642073328,1.89786791797,0.562760302593,Radial,0.474466979493,0.948933958986,247.907318304,0.0237372692839,1.5941151157,0.89710470488
38,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,3189.47368421,97971.1881046,9.81,0.246090493533,11.2035671877,1.45994150225,0.632101250176,Radial,0.364985375561,0.729970751123,243.810890164,0.0407875917476,1.64813269414,1.04178673642
39,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,3884.21052632,97971.1881046,9.81,0.299694363411,8.84066402288,1.15203060759,0.685366142281,Radial,0.288007651897,0.576015303794,234.296284159,0.0681645601337,1.78470965436,1.2231795709
40,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,4578.94736842,97971.1881046,9.81,0.353298233289,7.19577101791,0.93768391564,0.732137234391,Radial,0.23442097891,0.46884195782,224.81264769,0.107230516902,1.93846022347,1.41921890699
41,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,5273.68421053,97971.1881046,9.81,0.406902103168,6.2372301629,0.812776057956,0.768272109576,Radial,0.203194014489,0.406388028978,224.431413621,0.142963977963,1.94505141078,1.4943287506
42,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,5968.42105263,97971.1881046,9.81,0.460505973046,5.55854182051,0.724335897644,0.798884865824,Radial,0.181083974411,0.362167948822,226.359165932,0.178473594175,1.9120630315,1.52751821836
43,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,6663.15789474,97971.1881046,9.81,0.514109842924,5.06978640724,0.660645976361,0.815683226471,Radial,0.16516149409,0.33032298818,230.48757642,0.210701177702,1.84418010339,1.50426677693
44,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,7357.89473684,97971.1881046,9.81,0.567713712803,4.58821125751,0.597891718208,0.831959344864,Radial,0.149472929552,0.298945859104,230.342847099,0.25741406145,1.84649830679,1.53621152161
45,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,8052.63157895,97971.1881046,9.81,0.621317582681,4.10663610779,0.535137460055,0.848235463257,Radial,0.133784365014,0.267568730028,225.63257782,0.328034530287,1.92439741321,1.63234213128
46,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,8747.36842105,97971.1881046,9.81,0.674921452559,3.94242786105,0.513739415092,0.85,Mixed,0.128434853773,0.256869707546,235.298374911,0.341308710012,1.76954055065,1.50410946805
47,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,9442.10526316,97971.1881046,9.81,0.728525322438,3.81680986413,0.497370081642,0.85,Mixed,0.124342520411,0.248685040821,245.893539045,0.3484541492,1.62033248719,1.37728261411
48,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,10136.8421053,97971.1881046,9.81,0.782129192316,3.69119186722,0.481000748192,0.85,Mixed,0.120250187048,0.240500374096,255.297790433,0.358850464783,1.50315671979,1.27768321182
49,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,10831.5789474,97971.1881046,9.81,0.835733062195,3.5655738703,0.464631414742,0.85,Mixed,0.116157853685,0.232315707371,263.511129073,0.372594097789,1.41091370207,1.19927664676
50,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,11526.3157895,97971.1881046,9.81,0.889336932073,3.43995587338,0.448262081291,0.85,Mixed,0.112065520323,0.224131040646,270.533554966,0.389912292445,1.33861625975,1.13782382078
51,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,12221.0526316,97971.1881046,9.81,0.942940801951,3.31433787647,0.431892747841,0.85,Mixed,0.10797318696,0.21594637392,276.365068112,0.411165911381,1.28272062554,1.09031253171
52,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,12915.7894737,97971.1881046,9.81,0.99654467183,3.18871987955,0.415523414391,0.85,Mixed,0.103880853598,0.207761707195,281.005668512,0.436863730898,1.24070408872,1.05459847541
53,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,13610.5263158,97971.1881046,9.81,1.05014854171,3.06310188263,0.39915408094,0.85,Mixed,0.0997885202351,0.19957704047,284.455356164,0.467688627457,1.21079367419,1.02917462306
54,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,14305.2631579,97971.1881046,9.81,1.10375241159,3.01438440435,0.392805686073,0.85,Mixed,0.0982014215184,0.196402843037,294.220032799,0.466900459976,1.13175884077,0.961995014652
55,1.01325,20.0,31.1,13.82,16.6472290221,5.0,1.98339290492,15000.0,97971.1881046,9.81,1.15735628146,2.99161444874,0.389838523683,0.85,Mixed,0.0974596309208,0.194919261842,306.178460522,0.455520504166,1.0450789606,0.888317116507
56,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,1800.0,81642.6567539,9.81,0.159233431268,17.5878077918,2.39875644116,0.504617763877,Radial,0.59968911029,1.19937822058,226.077468399,0.0162938038486,1.59735912157,0.806055788038
