,p_in,t_out,p_out,m_dot,V3,Nstg,PR_stg,RPM,H_ad,g,Ns,Ds,D,eff,type
63,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,7357.89473684,97187.6311995,9.81,0.571143078192,3.29265367784,0.429929286499,0.9,Radial
64,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,8052.63157895,97187.6311995,9.81,0.625070750811,3.11038805652,0.406130449393,0.9,Radial
65,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,8747.36842105,97187.6311995,9.81,0.678998423429,2.95394263257,0.385703014238,0.887263677762,Radial
66,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,9442.10526316,97187.6311995,9.81,0.732926096048,2.82849794067,0.369323415239,0.859235632261,Radial
67,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,10136.8421053,97187.6311995,9.81,0.786853768667,2.70305324877,0.352943816241,0.831207586759,Radial
68,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,10831.5789474,97187.6311995,9.81,0.840781441286,2.57760855687,0.336564217243,0.803179541258,Radial
69,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,11526.3157895,97187.6311995,9.81,0.894709113905,2.46936558886,0.322430686492,0.773183159996,Radial
70,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,12221.0526316,97187.6311995,9.81,0.948636786524,2.36332370266,0.308584556005,0.742934916301,Radial
71,31.1,20.0,1.01325,13.82,16.6472290221,6.0,1.76945951072,12915.7894737,97187.6311995,9.81,1.00256445914,2.25728181647,0.294738425518,0.712686672605,Radial
72,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,1800.0,84258.0586844,9.81,0.155511859257,9.34933910358,1.26512015659,0.727969704195,Radial
73,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,2494.73684211,84258.0586844,9.81,0.215533980374,7.37445031963,0.997885052599,0.801171037447,Radial
74,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,3189.47368421,84258.0586844,9.81,0.275556101491,6.59010831215,0.891750611187,0.82112549048,Radial
75,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,3884.21052632,84258.0586844,9.81,0.335578222608,5.80576630466,0.785616169775,0.841079943513,Radial
76,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,4578.94736842,84258.0586844,9.81,0.395600343724,5.02142429717,0.679481728363,0.861034396546,Radial
